activation,seed,step,loss,pos_acc,exact_match,elapsed_s
ReLU,0,0,2.091230869293213,0.233837890625,0.00067138671875,2.834655523300171
ReLU,0,100,1.1115810871124268,0.5283935546875,0.0338134765625,3.3814661502838135
ReLU,0,200,0.8746808767318726,0.63212890625,0.0889892578125,3.588409900665283
ReLU,0,300,0.7603409290313721,0.6750732421875,0.12786865234375,3.804305076599121
ReLU,0,400,0.6969855427742004,0.7026611328125,0.16094970703125,4.013679504394531
ReLU,0,500,0.6492587924003601,0.720458984375,0.1876220703125,4.222464561462402
ReLU,0,600,0.6301621198654175,0.728369140625,0.20001220703125,4.413837194442749
ReLU,0,700,0.6148927211761475,0.73668212890625,0.21551513671875,4.616239786148071
ReLU,0,800,0.5892573595046997,0.74405517578125,0.22418212890625,4.84095025062561
ReLU,0,900,0.5542563199996948,0.74981689453125,0.23565673828125,5.033901691436768
ReLU,0,1000,0.5596132278442383,0.7567138671875,0.24468994140625,5.2273945808410645
ReLU,0,1100,0.5509258508682251,0.7590576171875,0.252197265625,5.421942234039307
ReLU,0,1200,0.53524249792099,0.76480712890625,0.260498046875,5.615176677703857
ReLU,0,1300,0.5287835001945496,0.76513671875,0.262451171875,5.820094585418701
ReLU,0,1400,0.5107184648513794,0.76888427734375,0.26763916015625,6.056256532669067
ReLU,0,1500,0.5377750396728516,0.77415771484375,0.2783203125,6.248153448104858
ReLU,0,1600,0.5242465734481812,0.777099609375,0.2857666015625,6.439790725708008
ReLU,0,1700,0.5266847014427185,0.77847900390625,0.28900146484375,6.63098406791687
ReLU,0,1800,0.5030702352523804,0.78056640625,0.29302978515625,6.823273181915283
ReLU,0,1900,0.5149517059326172,0.78209228515625,0.294921875,7.018025159835815
ReLU,0,2000,0.46608656644821167,0.78460693359375,0.2991943359375,7.221864223480225
ReLU,0,2100,0.4733070433139801,0.7884521484375,0.3089599609375,7.427408933639526
ReLU,0,2200,0.4799605906009674,0.79013671875,0.30804443359375,7.617658615112305
ReLU,0,2300,0.43971699476242065,0.79554443359375,0.318115234375,7.807884931564331
ReLU,0,2400,0.47268837690353394,0.79771728515625,0.323486328125,7.998209714889526
ReLU,0,2500,0.48708000779151917,0.79969482421875,0.32763671875,8.188088417053223
ReLU,0,2600,0.4646577835083008,0.80172119140625,0.33612060546875,8.379285097122192
ReLU,0,2700,0.46202725172042847,0.80540771484375,0.34356689453125,8.569704294204712
ReLU,0,2800,0.4537471830844879,0.80670166015625,0.3465576171875,8.759877681732178
ReLU,0,2900,0.46257829666137695,0.80728759765625,0.349365234375,8.965442180633545
ReLU,0,3000,0.4465550482273102,0.80975341796875,0.3544921875,9.210341691970825
ReLU,0,3100,0.44160985946655273,0.81572265625,0.3675537109375,9.412116050720215
ReLU,0,3200,0.4462008476257324,0.817431640625,0.37249755859375,9.604305028915405
ReLU,0,3300,0.4328741431236267,0.8185546875,0.3775634765625,9.81187629699707
ReLU,0,3400,0.39891356229782104,0.8179443359375,0.3782958984375,10.003596067428589
ReLU,0,3500,0.40925154089927673,0.8207275390625,0.37982177734375,10.2187340259552
ReLU,0,3600,0.4088069796562195,0.82301025390625,0.38995361328125,10.433663129806519
ReLU,0,3700,0.3981679677963257,0.8241943359375,0.38739013671875,10.628032922744751
ReLU,0,3800,0.39887064695358276,0.8282958984375,0.40234375,10.852102994918823
ReLU,0,3900,0.3888935446739197,0.8278076171875,0.399658203125,11.045401334762573
ReLU,0,3999,0.3957778811454773,0.83134765625,0.40435791015625,11.261022090911865
ReLU,1,0,2.860387086868286,0.2131591796875,0.00140380859375,0.0036280155181884766
ReLU,1,100,1.221022367477417,0.46602783203125,0.01934814453125,0.19558501243591309
ReLU,1,200,0.9237874150276184,0.5910400390625,0.0670166015625,0.4017024040222168
ReLU,1,300,0.8229940533638,0.63804931640625,0.10272216796875,0.6151351928710938
ReLU,1,400,0.7610592842102051,0.66895751953125,0.1314697265625,0.8116374015808105
ReLU,1,500,0.7165220975875854,0.6908447265625,0.159912109375,1.0039420127868652
ReLU,1,600,0.6847605109214783,0.70198974609375,0.17047119140625,1.2086734771728516
ReLU,1,700,0.6656125783920288,0.71187744140625,0.17730712890625,1.416771411895752
ReLU,1,800,0.6591794490814209,0.72158203125,0.19512939453125,1.614569902420044
ReLU,1,900,0.636726975440979,0.72808837890625,0.20880126953125,1.8182671070098877
ReLU,1,1000,0.6313387155532837,0.73238525390625,0.21343994140625,2.01129412651062
ReLU,1,1100,0.5914990305900574,0.73460693359375,0.2178955078125,2.2092032432556152
ReLU,1,1200,0.6158883571624756,0.7424072265625,0.22723388671875,2.403515577316284
ReLU,1,1300,0.6014677286148071,0.74556884765625,0.23797607421875,2.59560227394104
ReLU,1,1400,0.5828343629837036,0.74339599609375,0.232177734375,2.7879436016082764
ReLU,1,1500,0.591254472732544,0.7454833984375,0.2313232421875,3.014669179916382
ReLU,1,1600,0.5986543297767639,0.7544677734375,0.24932861328125,3.217066526412964
ReLU,1,1700,0.5509594678878784,0.75716552734375,0.25018310546875,3.407583236694336
ReLU,1,1800,0.5529475808143616,0.757470703125,0.25628662109375,3.612767219543457
ReLU,1,1900,0.5449509620666504,0.758447265625,0.2532958984375,3.8207168579101562
ReLU,1,2000,0.5605008006095886,0.763818359375,0.27252197265625,4.044386148452759
ReLU,1,2100,0.5797799229621887,0.766943359375,0.27099609375,4.254016160964966
ReLU,1,2200,0.5423237085342407,0.767431640625,0.27410888671875,4.478024244308472
ReLU,1,2300,0.5337799787521362,0.76978759765625,0.27789306640625,4.6850011348724365
ReLU,1,2400,0.5495624542236328,0.7695068359375,0.271240234375,4.877291917800903
ReLU,1,2500,0.5111168026924133,0.7706787109375,0.281982421875,5.087656736373901
ReLU,1,2600,0.5328924059867859,0.77369384765625,0.284912109375,5.292578220367432
ReLU,1,2700,0.5217602849006653,0.7809814453125,0.30072021484375,5.482970714569092
ReLU,1,2800,0.5371192693710327,0.7818603515625,0.30035400390625,5.672692775726318
